Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation rate
05-12-2023,458.7,473,455,461,2.49,"1,76,066.00","8,18,26,608.20",0.0752
06-12-2023,461,482,458.3,482,4.56,"1,22,992.00","5,79,85,795.60",0.0752
07-12-2023,473,480,465,468,-2.9,"2,02,661.00","9,54,68,796.60",0.0752
10-12-2023,477,499.8,477,495,5.77,"30,869.00","1,52,21,728.80",0.0752
11-12-2023,500,503.8,480.2,494.3,-0.14,"2,96,185.00","14,56,76,988.60",0.0752
12-12-2023,494,532,492,523.1,5.83,"2,13,327.00","11,04,15,481.50",0.0752
13-12-2023,525,533.5,510,518,-0.97,"1,40,605.00","7,32,78,361.40",0.0752
14-12-2023,508,520,500,510.1,-1.53,"1,48,129.00","7,58,21,565.10",0.0752
17-12-2023,510.1,519.2,490,519.2,1.78,"1,43,085.00","7,28,97,042.90",0.0752
18-12-2023,519.2,530,515.1,518,-0.23,"1,13,685.00","5,94,33,385.80",0.0752
19-12-2023,515.2,563,515.2,558,7.72,"1,93,036.00","10,28,97,223.20",0.0752
20-12-2023,550,567,547,547.5,-1.88,"1,53,173.00","8,48,09,512.10",0.0752
21-12-2023,550,550,531,531,-3.01,"1,38,296.00","7,42,99,806.50",0.0752
24-12-2023,531,566.1,522,540,1.69,"2,14,746.00","11,77,61,266.20",0.0752
27-12-2023,540,555,539,540.2,0.04,"1,46,104.00","7,95,52,798.50",0.0752
28-12-2023,533.1,550,533.1,544,0.7,"1,20,526.00","6,52,85,766.00",0.0752
01-01-2024,542,550.8,528,529,-2.76,"1,18,403.00","6,36,24,601.20",0.0752
02-01-2024,518.5,518.5,488,491,-7.18,"2,93,516.00","14,73,80,149.80",0.0752
03-01-2024,491,502,477,499.4,1.71,"1,29,318.00","6,31,17,651.40",0.0752
04-01-2024,500,503,482.5,482.5,-3.38,"1,44,263.00","7,10,82,002.30",0.0752
07-01-2024,482.5,490.1,476.1,478,-0.93,"1,09,394.00","5,28,16,987.30",0.0752
08-01-2024,472,500,472,495,3.56,"82,470.00","4,06,46,343.60",0.0752
09-01-2024,504.9,516,498,500,1.01,"1,51,508.00","7,71,13,498.60",0.0752
10-01-2024,510,512.2,495,497,-0.6,"81,612.00","4,09,38,837.10",0.0752
11-01-2024,503,505.9,487,495.4,-0.32,"93,969.00","4,67,34,366.60",0.0752
14-01-2024,481,481,468.1,473,0.25,"64,542.00","3,05,00,158.50",0.0752
16-01-2024,470,490,470,484.2,2.37,"66,912.00","3,23,51,402.20",0.0752
17-01-2024,484.2,501,478.2,478.2,-1.24,"1,19,396.00","5,80,68,114.20",0.0752
