Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
27-08-2023,442,442.9,435.1,437.9,-0.93,"64,554.00","2,83,35,395.60",0.0752
28-08-2023,435,443.9,435,437,-0.21,"36,845.00","1,61,58,366.30",0.0752
29-08-2023,445,445,431.2,432.3,-1.08,"35,054.00","1,52,51,289.90",0.0752
30-08-2023,432.4,437,429,430,-0.53,"39,652.00","1,71,15,449.10",0.0752
03-09-2023,428.6,430,418.1,420,-2.33,"51,126.00","2,16,00,607.90",0.0752
04-09-2023,420,425,412,418,-0.48,"42,146.00","1,76,12,734.70",0.0752
05-09-2023,419.7,425.9,413,416,-0.48,"35,954.00","1,51,41,254.30",0.0752
07-09-2023,411.6,420,410,412,-0.96,"45,182.00","1,86,59,440.10",0.0752
10-09-2023,420.2,420.2,409,410.8,-0.29,"27,188.00","1,12,35,652.10",0.0752
11-09-2023,406,434,406,426,3.7,"59,113.00","2,49,40,013.80",0.0752
12-09-2023,434,434,418,423.7,-0.54,"58,074.00","2,46,52,584.30",0.0752
13-09-2023,424,439.5,421.2,439,3.61,"56,905.00","2,45,74,329.60",0.0752
17-09-2023,439,439,422,424,-3.42,"57,525.00","2,46,21,088.10",0.0752
18-09-2023,416.3,432,416.3,424,0,"25,018.00","1,06,45,207.70",0.0752
19-09-2023,425,435,423,428.1,0.97,"43,906.00","1,87,74,350.30",0.0752
21-09-2023,430,448.5,430,440.3,2.85,"86,935.00","3,82,88,295.10",0.0752
24-09-2023,435,449.9,432,432,-1.89,"71,889.00","3,14,99,402.70",0.0752
25-09-2023,432,435.5,427,429,-0.69,"54,854.00","2,35,12,948.90",0.0752
26-09-2023,431,439.8,430,437,1.86,"48,431.00","2,10,33,577.70",0.0752
27-09-2023,440,445.7,426.1,429.5,-1.72,"36,388.00","1,56,45,152.70",0.0752
01-10-2023,425.1,430,417,418.9,-2.47,"78,244.00","3,28,59,595.40",0.0752
02-10-2023,418,423,413,419,0.02,"34,787.00","1,45,75,642.70",0.0752
03-10-2023,412.6,420,412.6,415,-0.95,"24,559.00","1,02,41,083.80",0.0752
04-10-2023,412.1,424,412.1,417.4,0.58,"24,365.00","1,02,38,747.20",0.0752
05-10-2023,415,421,414.2,416.5,-0.22,"21,852.00","91,00,920.30",0.0752
08-10-2023,416.5,420,406,406,-2.52,"88,570.00","3,63,13,045.00",0.0752
09-10-2023,403,412,403,405.9,-0.02,"43,927.00","1,78,25,696.00",0.0752
10-10-2023,406,407,400,401,-1.21,"42,660.00","1,71,32,428.70",0.0752
11-10-2023,400,409,398,402,0.25,"35,531.00","1,42,57,269.00",0.0752
12-10-2023,400,405,393.1,394,-1.99,"35,159.00","1,39,64,126.20",0.0752
16-10-2023,392,392,383.1,384,-2.54,"37,163.00","1,43,67,745.30",0.0752
17-10-2023,390,399.4,386,388.9,1.28,"25,921.00","1,00,94,710.20",0.0752
18-10-2023,381.2,410.9,381.2,398.6,2.49,"44,965.00","1,77,78,215.30",0.0752
19-10-2023,404.5,408.6,393,398,-0.15,"55,758.00","2,24,40,775.30",0.0752
29-10-2023,395,397,388,388,-2.51,"23,581.00","92,31,057.90",0.0752
30-10-2023,383,392,383,390,0.52,"14,522.00","56,35,774.80",0.0752
31-10-2023,390,394,385,385,-1.28,"16,640.00","64,27,869.20",0.0752
01-11-2023,380,388.8,380,380.7,-1.12,"21,050.00","80,88,174.80",0.0752
02-11-2023,380.7,382,375.2,376,-1.23,"20,471.00","77,57,372.80",0.0752
05-11-2023,374,376,368.5,374,-0.53,"24,374.00","90,44,654.90",0.0752
06-11-2023,371.1,383.9,371.1,378.4,1.18,"23,003.00","87,14,646.20",0.0752
07-11-2023,374,388,374,384.8,1.69,"18,421.00","70,89,404.50",0.0752
08-11-2023,380,391,380,385,0.05,"22,308.00","86,11,334.20",0.0752
09-11-2023,392,392,377,381,-1.04,"25,882.00","98,15,195.80",0.0752
20-11-2023,380,400.5,380,389.9,2.34,"45,770.00","1,79,05,806.30",0.0752
21-11-2023,394,394,380.3,384,-1.51,"24,805.00","95,39,723.10",0.0752
22-11-2023,384,392,380,390,1.56,"21,601.00","83,68,427.80",0.0752
23-11-2023,383.1,406,383.1,403.6,3.49,"77,559.00","3,08,66,122.40",0.0752
26-11-2023,411.6,435,402.1,431,6.79,"1,30,475.00","5,51,01,805.70",0.0752
27-11-2023,439.6,439.6,421,424,-1.62,"91,466.00","3,92,52,907.20",0.0752
28-11-2023,425,430.5,421,423,-0.24,"60,147.00","2,55,28,067.80",0.0752
29-11-2023,416.1,429,410,415,-1.89,"44,527.00","1,85,47,790.70",0.0752
30-11-2023,414,415,406.7,410,-1.2,"43,788.00","1,79,66,456.00",0.0752
03-12-2023,405,413.1,404,412,0.49,"48,752.00","1,99,32,363.00",0.0752
04-12-2023,410,421,410,414.9,0.7,"75,858.00","3,15,55,824.80",0.0752
05-12-2023,423,424.9,408,408,-1.66,"62,043.00","2,57,96,867.60",0.0752
06-12-2023,408,420,408,414.9,1.69,"44,847.00","1,85,39,970.90",0.0752
07-12-2023,412,420,410.2,412.8,-0.51,"72,867.00","3,02,37,286.90",0.0752
10-12-2023,421,440,421,438,6.1,"38,433.00","1,67,41,973.60",0.0752
11-12-2023,445,446,426,434,-0.91,"2,19,288.00","9,57,60,909.40",0.0752
12-12-2023,426,463,426,457,5.3,"2,05,550.00","9,27,37,406.70",0.0752
13-12-2023,466.1,466.1,442,448,-1.97,"1,79,440.00","8,14,06,799.90",0.0752
14-12-2023,439.2,454.6,439.2,446,-0.45,"67,755.00","3,02,34,972.10",0.0752
17-12-2023,438,453,429,452,1.35,"1,54,905.00","6,89,01,091.20",0.0752
18-12-2023,461,461.2,445.1,448,-0.88,"1,98,139.00","9,00,02,828.70",0.0752
19-12-2023,456.9,467,442,465,3.79,"1,83,744.00","8,35,87,548.90",0.0752
20-12-2023,465,485,461,472,1.51,"2,91,942.00","13,90,17,463.40",0.0752
21-12-2023,481.4,481.4,460,462,-2.12,"1,66,159.00","7,75,81,183.20",0.0752
24-12-2023,462,470,446,452,-2.16,"1,99,783.00","9,17,24,618.00",0.0752
27-12-2023,460,468.9,445,447,-1.11,"93,012.00","4,18,94,549.00",0.0752
28-12-2023,450,453,440.1,443,-0.89,"1,21,615.00","5,41,28,796.60",0.0752
01-01-2024,444,451.5,438,438,-1.13,"89,932.00","3,99,67,246.40",0.0752
02-01-2024,438,441,422.1,424,-3.2,"94,260.00","4,04,77,385.30",0.0752
03-01-2024,424,435,423,432,1.89,"63,848.00","2,74,20,699.40",0.0752
04-01-2024,435,440,420,420.4,-2.69,"1,12,391.00","4,79,54,500.30",0.0752
07-01-2024,412,417,404,408,-2.95,"1,40,288.00","5,76,38,841.30",0.0752
08-01-2024,416.1,438,415,427.6,4.8,"1,19,407.00","5,04,35,339.10",0.0752
09-01-2024,436.1,444,429.5,430,0.56,"1,15,266.00","5,02,02,437.90",0.0752
10-01-2024,438.6,455,425,425.2,-1.12,"79,341.00","3,42,67,916.60",0.0752
11-01-2024,425,440,419,421.9,-0.78,"61,698.00","2,61,18,913.40",0.0752
14-01-2024,430.3,431,422,423,0.26,"62,497.00","2,65,25,787.20",0.0752
16-01-2024,423,434,423,433,2.36,"93,831.00","4,02,69,576.40",0.0752
17-01-2024,441,441,423.4,423.4,-2.22,"95,186.00","4,10,90,123.00",0.0752
