Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
21-12-2023,590,598,580.3,585,-1.18,"2,29,637.00","13,43,65,424.30",0.0752
24-12-2023,590,603,575.1,595,1.71,"2,85,552.00","16,93,88,956.00",0.0752
27-12-2023,595,603,584.3,585,-1.68,"2,13,685.00","12,64,63,053.00",0.0752
28-12-2023,575.2,590,575.2,582,-0.51,"2,22,384.00","12,98,09,679.50",0.0752
01-01-2024,582,587,566.5,567.1,-2.56,"1,72,131.00","9,91,65,974.80",0.0752
02-01-2024,560,565,543,545.1,-3.88,"1,78,303.00","9,87,16,496.70",0.0752
03-01-2024,540,552,525,550,0.9,"1,56,218.00","8,42,08,353.50",0.0752
04-01-2024,550,566,545,545.1,-0.89,"2,08,839.00","11,48,43,404.60",0.0752
07-01-2024,534.2,544.9,531.1,535,-1.85,"1,25,364.00","6,72,28,083.90",0.0752
08-01-2024,545,560,537,556,3.93,"1,69,677.00","9,30,99,943.40",0.0752
09-01-2024,558,570.1,555,558,0.36,"2,15,326.00","12,14,12,806.00",0.0752
10-01-2024,569.1,603.4,569.1,578.9,3.75,"4,96,040.00","28,87,15,287.90",0.0752
11-01-2024,585,585,570,571,-1.36,"1,67,643.00","9,63,13,741.70",0.0752
14-01-2024,575,576,565,566,-0.88,"1,31,023.00","7,45,68,566.70",0.0752
16-01-2024,566,598,566,590,4.24,"2,28,431.00","13,31,82,417.00",0.0752
17-01-2024,590,612,577.4,578,-2.03,"1,98,057.00","11,64,48,228.80",0.0752
