Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
06-07-2023,550,560,538,547.9,-1.1,"47,513.00","2,60,24,080.60",0.0752
09-07-2023,540,568,540,568,3.67,"50,579.00","2,83,44,593.60",0.0752
10-07-2023,568,584,560,570,0.35,"47,162.00","2,69,42,050.80",0.0752
11-07-2023,560,570.5,558,570,0,"28,262.00","1,59,26,283.90",0.0752
12-07-2023,560.1,570,560.1,567.9,-0.37,"40,013.00","2,26,18,074.50",0.0752
13-07-2023,568,578,552.3,552.5,-2.71,"39,668.00","2,23,10,289.20",0.0752
16-07-2023,548,563,548,556,0.63,"21,147.00","1,16,97,834.80",0.0752
17-07-2023,550,575,548,570.2,2.55,"35,502.00","2,01,35,864.80",0.0752
18-07-2023,570,593,570,577,1.19,"62,290.00","3,61,51,612.70",0.0752
19-07-2023,578,582,565,565,-2.08,"50,842.00","2,91,65,608.50",0.0752
20-07-2023,560,571.2,560,562,-0.53,"25,126.00","1,42,23,692.30",0.0752
23-07-2023,553,575,553,565,0.53,"44,357.00","2,51,67,171.50",0.0752
24-07-2023,556,574,556,568,0.53,"46,718.00","2,65,85,817.30",0.0752
25-07-2023,568,575,558.6,558.6,-1.65,"34,218.00","1,93,18,048.80",0.0752
26-07-2023,557,563,552.2,556,-0.47,"27,486.00","1,52,89,755.20",0.0752
27-07-2023,552.1,566,546,550,-1.08,"26,802.00","1,47,32,897.10",0.0752
30-07-2023,550,555,534,536.9,-2.38,"44,307.00","2,39,28,987.90",0.0752
31-07-2023,536.9,546,531,537.6,0.13,"19,685.00","1,06,58,121.30",0.0752
01-08-2023,539.4,556,523.4,524,-2.53,"16,508.00","87,45,398.90",0.0752
02-08-2023,513.7,534,513.7,525,0.19,"10,816.00","56,18,065.90",0.0752
03-08-2023,535.5,544,525,531.1,1.16,"24,985.00","1,33,76,130.20",0.0752
06-08-2023,521.1,540,515.1,520,-2.09,"19,435.00","1,01,46,696.50",0.0752
07-08-2023,525,541,510,520,0,"14,717.00","76,29,830.70",0.0752
08-08-2023,530,540,510,512,-1.54,"27,931.00","1,44,95,235.20",0.0752
09-08-2023,507.1,530,507,522.3,2.01,"16,159.00","83,01,232.70",0.0752
10-08-2023,522,540.6,512.2,535,2.43,"18,179.00","95,73,440.70",0.0752
13-08-2023,535,535,520.2,534,-0.19,"20,243.00","1,07,11,027.60",0.0752
14-08-2023,525,545,525,531.1,-0.54,"36,089.00","1,93,87,461.70",0.0752
15-08-2023,530,532,517.2,520,-2.09,"20,593.00","1,07,98,381.60",0.0752
16-08-2023,520,520,511.1,514,-1.15,"19,839.00","1,01,92,992.90",0.0752
17-08-2023,523,541,515,532,3.5,"36,757.00","1,95,17,932.80",0.0752
20-08-2023,522,528,519.3,524,-1.5,"15,949.00","83,39,888.00",0.0752
21-08-2023,524,530.1,514,518,-1.15,"16,624.00","86,71,970.50",0.0752
