Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
20-12-2023,589,599.1,579.7,586.6,-0.24,"1,21,663.00","7,13,48,863.50",0.0752
21-12-2023,585,587,566.1,566.6,-3.41,"1,07,474.00","6,17,97,385.60",0.0752
24-12-2023,566,620,564,590,4.13,"3,19,125.00","19,03,72,800.20",0.0752
27-12-2023,590,615,590,604,2.37,"1,96,527.00","11,87,32,597.40",0.0752
28-12-2023,604,620,604,607,0.5,"1,53,229.00","9,38,07,451.10",0.0752
1/1/2024,607,613.9,585,588.2,-3.1,"1,50,265.00","8,97,19,168.60",0.0752
2/1/2024,581,587,565,566,-3.77,"1,53,668.00","8,79,59,255.50",0.0752
3/1/2024,560,570,542,568,0.35,"2,82,817.00","15,70,17,871.10",0.0752
4/1/2024,579,579,552.3,554,-2.46,"1,64,307.00","9,21,01,697.60",0.0752
7/1/2024,547,547.1,532,532,-3.97,"1,30,445.00","7,00,89,189.10",0.0752
8/1/2024,540,558.3,537.1,557.1,4.72,"89,074.00","4,85,77,079.00",0.0752
9/1/2024,565,573.2,557.5,563,1.06,"1,00,388.00","5,66,80,659.40",0.0752
10/1/2024,574.2,586,557.2,560,-0.53,"86,517.00","4,91,18,654.80",0.0752
11/1/2024,570,570,555,557,-0.54,"69,570.00","3,90,08,023.20",0.0752
14-01-2024,565,568,554,555,-0.36,"58,040.00","3,23,61,752.90",0.0752
16-01-2024,566,569,555.1,565,1.8,"96,751.00","5,44,88,018.70",0.0752
17-01-2024,563,575,559,559.1,-1.04,"1,20,777.00","6,86,13,842.30",0.0752
1/18/2024,554.1,566,548,550.1,-1.61,"90,651.00","50,221,551.90",0.0752
1/21/2024,550,561,542.6,543.1,-1.27,"68,293.00","37,593,448.80",0.0752
1/22/2024,543.1,568,541,553,1.82,"84,199.00","46,631,967.10",0.0752
1/23/2024,554,559,544,545,-1.45,"44,133.00","24,259,808.00",0.0752
1/24/2024,546,555,541.3,542,-0.55,"31,488.00","17,223,783.10",0.0752
1/25/2024,540.1,547,535,535,-1.29,"45,778.00","24,702,915.60",0.0752
1/28/2024,545.7,555,535.4,540.1,0.95,"70,522.00","38,193,971.30",0.0752
1/29/2024,550.9,561,547.2,552,2.2,"54,072.00","29,791,622.40",0.0752
1/30/2024,555,559.9,549,554,0.36,"52,697.00","29,268,704.50",0.0752
1/31/2024,554,559.9,543,547,-1.26,"52,423.00","28,751,698.00",0.0752
2/1/2024,542.1,545.3,535.3,535.3,-2.14,"48,152.00","26,000,325.10",0.0752
2/4/2024,535,545,532,535.5,0.04,"28,869.00","15,458,307.30",0.0752
2/5/2024,535,540,533,538,0.47,"22,066.00","11,850,220.20",0.0752
2/6/2024,535,543.5,533.1,542,0.74,"30,112.00","16,219,014.50",0.0752
2/7/2024,542,565,542,563,3.87,"94,666.00","52,606,654.00",0.0752
2/8/2024,563,568.9,556.2,562,-0.18,"52,528.00","29,424,724.80",0.0752
2/11/2024,562,565,550,554.9,-1.26,"40,187.00","22,426,399.30",0.0752
2/12/2024,543.9,561,543.9,552,-0.52,"29,169.00","16,124,269.90",0.0752
2/13/2024,550,555,540,541,-1.99,"42,613.00","23,227,871.20",0.0752
2/14/2024,537,550,537,546,0.92,"25,921.00","14,109,491.00",0.0752
2/15/2024,555,555,538.1,542,-0.73,"29,276.00","15,820,321.10",0.0752
2/18/2024,535,539,530.1,530.8,-2.07,"38,787.00","20,708,624.00",0.0752
2/20/2024,528,535.2,525,525.1,-1.07,"31,172.00","16,489,651.10",0.0752
2/21/2024,525,534,520,520.9,-0.8,"26,334.00","13,790,093.80",0.0752
2/22/2024,514,525,513,514.9,-1.15,"42,540.00","21,987,501.00",0.0752
