Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
7/6/2023,468.8,469,456.8,464,0.65,"52,090.00","2,41,34,564.00",0.0752
8/6/2023,455.2,485,455.2,483,4.09,"74,260.00","3,52,16,284.90",0.0752
11/6/2023,485,501,485,497,2.9,"78,546.00","3,88,62,038.50",0.0752
12/6/2023,500,500,483,490,-1.41,"73,031.00","3,58,38,680.60",0.0752
13-06-2023,483.1,511,483.1,500,2.04,"1,14,548.00","5,75,68,193.00",0.0752
14-06-2023,510,533.4,504,514,2.8,"1,31,392.00","6,83,29,091.80",0.0752
15-06-2023,510,559.1,506,545,6.03,"1,16,936.00","6,17,32,738.80",0.0752
18-06-2023,544,589,542,588.9,8.06,"1,71,616.00","9,84,79,964.40",0.0752
19-06-2023,600.6,600.6,565,567,-3.72,"1,69,985.00","9,81,67,450.00",0.0752
20-06-2023,567,580,543,551,-2.82,"1,59,808.00","8,94,08,610.30",0.0752
21-06-2023,551,573,545,565.1,2.56,"1,38,294.00","7,76,13,647.60",0.0752
22-06-2023,576,586.5,558,580,2.64,"1,63,772.00","9,47,29,925.60",0.0752
25-06-2023,591.6,630,590,626,7.93,"2,80,107.00","17,34,89,853.70",0.0752
26-06-2023,635,646,612,617.8,-1.31,"1,60,253.00","9,96,97,572.00",0.0752
27-06-2023,618,623,607,614,-0.62,"1,00,341.00","6,15,05,208.20",0.0752
28-06-2023,620,637,603.1,620.7,1.09,"1,71,380.00","10,65,71,208.90",0.0752
2/7/2023,625,645.2,615,627,1.01,"2,62,138.00","16,67,57,292.40",0.0752
3/7/2023,625,642.6,618,623,-0.64,"1,25,976.00","7,93,39,760.40",0.0752
4/7/2023,623.1,635,614,624,0.16,"68,639.00","4,26,56,793.80",0.0752
5/7/2023,619,627,601,603,-3.37,"96,235.00","5,86,53,522.10",0.0752
6/7/2023,615,615,585,602,-0.17,"68,144.00","4,08,97,566.20",0.0752
9/7/2023,613.5,624,607,621,3.16,"73,559.00","4,53,00,396.40",0.0752
10/7/2023,627,633,617,623.1,0.34,"83,233.00","5,20,17,003.80",0.0752
11/7/2023,617,625.5,614,614,-1.46,"59,519.00","3,69,51,882.60",0.0752
12/7/2023,626.2,638.7,615,626.9,2.1,"66,632.00","4,16,50,288.50",0.0752
13-07-2023,630,637,611.6,611.6,-2.44,"58,784.00","3,66,53,762.10",0.0752
16-07-2023,623.8,627.9,604.7,610,-0.26,"42,814.00","2,62,93,965.30",0.0752
17-07-2023,610,625,609,622,1.97,"42,837.00","2,64,80,422.10",0.0752
18-07-2023,630,640.2,621,631,1.45,"1,09,534.00","6,91,84,309.40",0.0752
